,trial_start,ground_truth,actual_pred,fatigue_score
0,2.1260974407196045,12.0,12.0,0.3893946683521705
1,6.160053968429565,8.571428571428571,8.571428571428571,0.3218320013729473
2,10.176123857498169,8.571428571428571,8.571428571428571,0.5329700698527389
3,14.208392143249512,12.0,12.0,0.4562631365478389
4,18.22469449043274,10.0,10.0,0.2769338064114137
5,22.24119997024536,12.0,12.0,0.8471913643680037
6,26.257233381271362,12.0,12.0,0.5835860363237972
7,30.30734658241272,8.571428571428571,8.571428571428571,0.8054800179093464
8,34.32344055175781,10.0,10.0,2.6059138647782194
9,38.34127593040466,7.5,7.5,0.8091355332939831
10,42.37277960777283,7.5,7.5,0.9581439008197049
11,46.38856530189514,10.0,10.0,0.9273374241344224
12,50.405160665512085,12.0,12.0,0.4509917547835472
13,54.45408225059509,7.5,7.5,0.7221332063448603
14,58.47067904472351,10.0,10.0,1.7263604115121114
15,62.52079916000366,12.0,12.0,0.3991149391758545
16,66.60365104675293,8.571428571428571,8.571428571428571,0.8842937262380409
17,70.65308618545532,12.0,12.0,0.6249813132601325
18,74.70221090316772,8.571428571428571,7.5,0.6712911334261225
19,78.71861004829407,10.0,10.0,0.35835992147349066
20,82.73486924171448,12.0,12.0,0.5847093401811543
21,86.76871252059937,7.5,7.5,0.5538254940587026
22,90.80085825920105,8.571428571428571,8.571428571428571,0.36501836675090776
23,94.8176121711731,7.5,7.5,0.4092466996498249
24,98.85011601448059,12.0,12.0,0.9838028009769191
25,102.84955835342407,8.571428571428571,8.571428571428571,0.7430511418592013
26,106.89945650100708,8.571428571428571,7.5,0.4395190599528669
27,110.8989691734314,8.571428571428571,7.5,0.3507623053238242
28,114.93140411376953,12.0,10.0,0.5919029314095452
29,118.96611475944519,8.571428571428571,8.571428571428571,0.305408429720684
30,123.04721665382385,7.5,7.5,0.6841869257696999
31,127.09765005111694,12.0,7.5,0.5958353201670576
32,131.16494584083557,12.0,7.5,4.653661702464395
33,135.18046689033508,8.571428571428571,8.571428571428571,0.4335659740843603
34,139.2124001979828,10.0,10.0,0.6573758978351668
35,143.22955799102783,12.0,12.0,0.4954753847820766
36,147.2618374824524,12.0,12.0,0.33409949724904586
37,151.2617847919464,10.0,10.0,0.8051017648006958
38,155.3109359741211,7.5,7.5,0.9600570448731525
39,159.32782101631165,12.0,12.0,0.760220945198601
40,163.36153292655945,12.0,12.0,1.1346360735399996
41,167.3769600391388,10.0,10.0,0.48704017417768386
42,171.39325976371765,7.5,7.5,0.538993335979535
43,175.42615699768066,10.0,10.0,1.2452378288303
44,179.44205498695374,10.0,10.0,0.5631499409552558
45,183.47455406188965,10.0,10.0,0.7833258220644672
46,187.50813221931458,10.0,10.0,0.9378027250955765
47,191.52411580085754,7.5,7.5,9.594667220677403
48,195.57429909706116,8.571428571428571,8.571428571428571,1.0500831344487631
49,199.64011240005493,12.0,12.0,0.8937277419292924
50,203.65677094459534,8.571428571428571,8.571428571428571,4.430729912900723
51,207.6899242401123,7.5,7.5,1.7623841420944766
52,211.75640082359314,8.571428571428571,8.571428571428571,1.3191592744426142
53,215.80535364151,8.571428571428571,8.571428571428571,1.473178280102648
54,219.80499792099,7.5,7.5,0.9858546441668506
55,223.85423350334167,8.571428571428571,8.571428571428571,1.2168430949204994
56,227.87036752700806,10.0,10.0,1.28174752122286
57,231.88720107078552,7.5,7.5,1.5811357066106826
58,235.90344500541687,10.0,10.0,1.0651952752158313
59,239.95216536521912,10.0,10.0,2.289505463958658
60,243.95224022865295,8.571428571428571,8.571428571428571,0.735742339871745
61,248.00205254554749,8.571428571428571,8.571428571428571,0.9950668379249749
62,252.06782722473145,7.5,7.5,1.741695131007018
63,256.1012535095215,10.0,10.0,2.2613661776494713
64,260.1175241470337,7.5,7.5,1.7816714936976445
65,264.15036940574646,12.0,12.0,0.8759103130198336
66,268.1665561199188,7.5,7.5,1.2928888740550604
67,272.1995711326599,8.571428571428571,8.571428571428571,2.9256394632906324
68,276.2160487174988,7.5,7.5,0.8207924034049362
69,280.2486340999603,12.0,12.0,1.0231158669792215
70,284.2653753757477,8.571428571428571,8.571428571428571,1.3390430965561613
71,288.3145785331726,8.571428571428571,8.571428571428571,1.0914397566568022
72,292.38110303878784,8.571428571428571,8.571428571428571,13.625201568724256
73,296.3972728252411,12.0,12.0,0.6103150476138689
74,300.4301199913025,7.5,7.5,4.301781515612479
75,304.4459435939789,7.5,7.5,1.9461006007378
76,308.46397590637207,7.5,7.5,1.4904182551616676
77,312.49551272392273,12.0,12.0,1.8313696927877634
78,316.52853178977966,12.0,12.0,4.230770486808333
79,320.5447127819061,7.5,7.5,0.6295122497304467
80,324.5776581764221,7.5,7.5,1.151102349263389
81,328.59541177749634,12.0,12.0,0.9772307835532419
82,332.62789702415466,8.571428571428571,8.571428571428571,1.579631155760257
83,336.64330101013184,12.0,12.0,1.9374620781413077
84,340.6762447357178,7.5,7.5,3.921410326597586
85,344.6921737194061,10.0,10.0,0.868845809729212
86,348.7088825702667,8.571428571428571,8.571428571428571,1.2691845013774514
87,352.74209213256836,8.571428571428571,8.571428571428571,0.7942231291148666
88,356.7584705352783,10.0,10.0,0.8590406005138502
89,360.8242418766022,7.5,7.5,0.4810539333853255
90,364.87478733062744,10.0,10.0,1.0194192085050218
91,368.90619802474976,10.0,10.0,1.8992873542510977
92,372.92313265800476,7.5,7.5,1.4469431626327691
93,376.9391300678253,7.5,7.5,1.0363503130014773
94,381.022301197052,12.0,12.0,0.572179395269755
95,385.0716543197632,10.0,10.0,1.092752878005032
96,389.1897826194763,10.0,10.0,1.5108536360265317
97,393.23804116249084,10.0,10.0,0.9803566585056169
98,397.2703993320465,10.0,10.0,1.35912860037545
99,401.3035614490509,10.0,10.0,1.8805069934831964
